[1] ADD,kHMjwfSx2P,63511.53 
[7754] COMMIT_BUY,IkWXoni8ti 
[7755] COMMIT_BUY,7nGIkyoUrD 
[7756] COMMIT_BUY,YIgPFTE1M7 
[7757] ADD,RtgbNlNQ82,81672.62 
[7758] SET_BUY_TRIGGER,IkWXoni8ti,TFP,87.94 
[7759] QUOTE,13VC8b11Q6,YUI 
[7760] CANCEL_SELL,wMcCWGxtZb 
[7761] COMMIT_BUY,yAAurFarHT 
[7762] COMMIT_BUY,IkWXoni8ti 
[7763] SET_SELL_AMOUNT,QPKBykFnxr,XYR,241.72 
[7764] CANCEL_SELL,qoExOgAPyd 
[7765] COMMIT_SELL,kHMjwfSx2P 
[7766] SET_SELL_AMOUNT,qoExOgAPyd,RPN,402.72 
[7767] CANCEL_SET_SELL,YIgPFTE1M7,RDD 
[7768] DISPLAY_SUMMARY,mZFoN64osd 
[7769] BUY,R4lbhHC1hS,SWC,531.40 
[7770] BUY,Kt8I7sdBcS,ZJI,662.56 
[7771] CANCEL_SELL,YIgPFTE1M7 
[7772] COMMIT_SELL,13VC8b11Q6 
[7773] QUOTE,kHMjwfSx2P,TNV 
[7774] COMMIT_SELL,e6Ql5cbsux 
[7775] DISPLAY_SUMMARY,e6Ql5cbsux 
[7776] CANCEL_BUY,7nGIkyoUrD 
[7777] SET_SELL_TRIGGER,QPKBykFnxr,XYR,85.68 
[7778] COMMIT_SELL,NmALn2RmzI 
[7779] COMMIT_SELL,LHA4yFlv3r 
[7780] CANCEL_SET_BUY,pz8HIUVPXH,ZRU 
[7781] COMMIT_BUY,uspV5YXJSf 
[7782] BUY,TMxB3eAn63,UED,705.94 
[7783] BUY,YIgPFTE1M7,DWD,732.23 
[7784] COMMIT_BUY,LHA4yFlv3r 
[7785] SELL,QPKBykFnxr,BMJ,68.24 
[7786] QUOTE,yAAurFarHT,UQO 
[7787] QUOTE,zVGmOyE2TY,TNV 
[7788] SELL,pz8HIUVPXH,LNW,364.30 
[7789] ADD,uspV5YXJSf,69905.03 
[7790] QUOTE,E9DHfAjHfd,AAL 
[7791] CANCEL_SET_BUY,qkUYmnHXvb,CRJ 
[7792] CANCEL_SET_SELL,whcYxtH67L,BMJ 
[7793] SET_BUY_AMOUNT,7nGIkyoUrD,QTG,522.03 
[7794] BUY,La1eSbNL6p,UQO,97.53 
[7795] SET_BUY_TRIGGER,7nGIkyoUrD,MFG,234.10 
[7796] CANCEL_BUY,ItaC6MIk2c 
[7797] DISPLAY_SUMMARY,L3qfH51ukK 
[7798] COMMIT_BUY,La1eSbNL6p 
[7799] SELL,E5CusuUGY3,BMJ,123.15 
[7800] COMMIT_BUY,mMQlpMeOfD 
[7801] CANCEL_SELL,R4lbhHC1hS 
[7802] SELL,qoExOgAPyd,VQZ,350.85 
[7803] COMMIT_BUY,wMcCWGxtZb 
[7804] COMMIT_BUY,YIgPFTE1M7 
[7805] SELL,jK70t6xffU,YNA,3.40 
[7806] SET_SELL_AMOUNT,Kt8I7sdBcS,YNA,84.82 
[7807] QUOTE,kHMjwfSx2P,UUG 
[7808] ADD,whcYxtH67L,77867.30 
[7809] ADD,r9sY6ykQwB,90464.08 
[7810] DISPLAY_SUMMARY,13VC8b11Q6 
[7811] DISPLAY_SUMMARY,tK1JNuy0li 
[7812] COMMIT_SELL,izXvHOmJ6Y 
[7813] DISPLAY_SUMMARY,7nGIkyoUrD 
[7814] COMMIT_BUY,ItaC6MIk2c 
[7815] BUY,whcYxtH67L,UQO,334.93 
[7816] QUOTE,r9sY6ykQwB,RPF 
[7817] CANCEL_SET_BUY,pz8HIUVPXH,RNJ 
[7818] BUY,tK1JNuy0li,HGW,666.86 
[7819] QUOTE,izXvHOmJ6Y,LNW 
[7820] CANCEL_BUY,e6Ql5cbsux 
[7821] ADD,E9DHfAjHfd,77230.59 
[7822] QUOTE,E9DHfAjHfd,KLF 
[7823] COMMIT_BUY,PDwyOp2gzv 
[7824] SELL,BxWlges22v,KUZ,341.32 
[7825] SET_BUY_AMOUNT,mMQlpMeOfD,WXZ,229.50 
[7826] QUOTE,ItaC6MIk2c,PXD 
[7827] BUY,BDty3gMxBy,UED,111.91 
[7828] ADD,E9DHfAjHfd,58194.01 
[7829] BUY,pTZZjie7eX,WXZ,488.96 
[7830] BUY,RtgbNlNQ82,WVC,369.43 
[7831] BUY,E9DHfAjHfd,VVL,448.38 
[7832] COMMIT_BUY,L3qfH51ukK 
[7833] ADD,CxzX2w8DmS,81279.99 
[7834] CANCEL_SELL,r9sY6ykQwB 
[7835] SELL,yAAurFarHT,JBQ,528.44 
[7836] BUY,PDwyOp2gzv,PZV,595.04 
[7837] QUOTE,TMxB3eAn63,LPF 
[7838] BUY,qoExOgAPyd,ZJI,672.29 
[7839] CANCEL_BUY,zVGmOyE2TY 
[7840] SET_SELL_TRIGGER,qoExOgAPyd,RPN,305.40 
[7841] CANCEL_SELL,13VC8b11Q6 
[7842] QUOTE,r9sY6ykQwB,JXE 
[7843] COMMIT_SELL,yAAurFarHT 
[7844] CANCEL_BUY,YET2WF8iGL 
[7845] CANCEL_BUY,h0Ib8LzTs9 
[7846] SET_SELL_TRIGGER,YET2WF8iGL,VOT,22.40 
[7847] COMMIT_SELL,E5CusuUGY3 
[7848] SELL,wMcCWGxtZb,TNV,740.20 
[7849] COMMIT_SELL,jK70t6xffU 
[7850] BUY,kHMjwfSx2P,JBQ,685.68 
[7851] COMMIT_BUY,NmALn2RmzI 
[7852] QUOTE,qoExOgAPyd,YNA 
[7853] SET_SELL_TRIGGER,E5CusuUGY3,WVC,38.37 
[7854] ADD,YIgPFTE1M7,67496.68 
[7855] COMMIT_BUY,CvCH8jPh2i 
[7856] COMMIT_BUY,PDwyOp2gzv 
[7857] SET_BUY_AMOUNT,ItaC6MIk2c,VVL,300.07 
[7858] BUY,RtgbNlNQ82,HZQ,376.03 
[7859] BUY,uspV5YXJSf,BFA,28.04 
[7860] SET_BUY_TRIGGER,TMxB3eAn63,DWD,15.89 
[7861] COMMIT_SELL,qkUYmnHXvb 
[7862] BUY,r9sY6ykQwB,TFP,61.32 
[7863] QUOTE,yAAurFarHT,RPN 
[7864] SELL,yAAurFarHT,WXZ,321.34 
[7865] COMMIT_BUY,e6Ql5cbsux 
[7866] SET_BUY_TRIGGER,ItaC6MIk2c,PZV,109.60 
[7867] COMMIT_SELL,ItaC6MIk2c 
[7868] ADD,zVGmOyE2TY,57756.58 
[7869] COMMIT_SELL,wMcCWGxtZb 
[7870] CANCEL_BUY,bfIjLoap9T 
[7871] SELL,R4lbhHC1hS,RYI,370.97 
[7872] COMMIT_SELL,yAAurFarHT 
[7873] SET_SELL_TRIGGER,YIgPFTE1M7,YUI,115.81 
[7874] CANCEL_BUY,E5CusuUGY3 
[7875] CANCEL_SELL,IkWXoni8ti 
[7876] COMMIT_BUY,whcYxtH67L 
[7877] ADD,pz8HIUVPXH,101410.98 
[7878] COMMIT_SELL,yAAurFarHT 
[7879] SET_BUY_AMOUNT,BDty3gMxBy,UED,730.75 
[7880] COMMIT_BUY,r9sY6ykQwB 
[7881] COMMIT_SELL,R4lbhHC1hS 
[7882] COMMIT_SELL,QPKBykFnxr 
[7883] QUOTE,R4lbhHC1hS,MFC 
[7884] SELL,Kt8I7sdBcS,JBQ,602.16 
[7885] QUOTE,CxzX2w8DmS,HIZ 
[7886] QUOTE,qEVRIEnox8,KLF 
[7887] COMMIT_SELL,BxWlges22v 
[7888] ADD,ItaC6MIk2c,71202.29 
[7889] CANCEL_BUY,La1eSbNL6p 
[7890] SELL,LHA4yFlv3r,JBQ,641.98 
[7891] SELL,whcYxtH67L,XTF,43.15 
[7892] SET_BUY_TRIGGER,BDty3gMxBy,MOE,433.78 
[7893] COMMIT_BUY,E9DHfAjHfd 
[7894] BUY,JPE6oMVt1b,TNV,260.69 
[7895] COMMIT_BUY,LHA4yFlv3r 
[7896] CANCEL_SET_BUY,TMxB3eAn63,MOE 
[7897] CANCEL_SET_BUY,13VC8b11Q6,ZFP 
[7898] COMMIT_BUY,uspV5YXJSf 
[7899] QUOTE,CxzX2w8DmS,TKB 
[7900] ADD,YET2WF8iGL,55940.57 
[7901] SELL,uspV5YXJSf,YNA,390.13 
[7902] BUY,YET2WF8iGL,DUW,196.99 
[7903] COMMIT_SELL,whcYxtH67L 
[7904] DISPLAY_SUMMARY,r9sY6ykQwB 
[7905] DISPLAY_SUMMARY,L3qfH51ukK 
[7906] QUOTE,CxzX2w8DmS,MAP 
[7907] BUY,qEVRIEnox8,JXE,637.83 
[7908] SET_BUY_AMOUNT,Kt8I7sdBcS,YNA,438.84 
[7909] COMMIT_SELL,pTZZjie7eX 
[7910] BUY,CxzX2w8DmS,CNC,402.73 
[7911] DISPLAY_SUMMARY,qoExOgAPyd 
[7912] CANCEL_SELL,YET2WF8iGL 
[7913] BUY,e6Ql5cbsux,EJK,487.56 
[7914] SET_BUY_TRIGGER,qEVRIEnox8,UUG,155.59 
[7915] SELL,QPKBykFnxr,KUZ,345.73 
[7916] DISPLAY_SUMMARY,uspV5YXJSf 
[7917] ADD,izXvHOmJ6Y,79536.08 
[7918] SELL,qoExOgAPyd,RYI,625.84 
[7919] BUY,E9DHfAjHfd,NQP,253.76 
[7920] SELL,NmALn2RmzI,LNW,362.14 
[7921] COMMIT_SELL,TMxB3eAn63 
[7922] BUY,E5CusuUGY3,ACY,694.16 
[7923] CANCEL_SELL,tK1JNuy0li 
[7924] CANCEL_SET_BUY,TMxB3eAn63,PZL 
[7925] COMMIT_BUY,E9DHfAjHfd 
[7926] QUOTE,pz8HIUVPXH,PXD 
[7927] BUY,qkUYmnHXvb,YZB,173.99 
[7928] COMMIT_BUY,e6Ql5cbsux 
[7929] CANCEL_SET_BUY,YIgPFTE1M7,PZL 
[7930] SET_SELL_TRIGGER,BxWlges22v,VJT,148.06 
[7931] ADD,TMxB3eAn63,95230.42 
[7932] BUY,R4lbhHC1hS,HMX,149.60 
[7933] ADD,jK70t6xffU,78904.51 
[7934] BUY,mMQlpMeOfD,KLF,189.64 
[7935] COMMIT_BUY,JPE6oMVt1b 
[7936] COMMIT_BUY,wMcCWGxtZb 
[7937] SELL,PDwyOp2gzv,TNV,102.43 
[7938] CANCEL_SET_BUY,La1eSbNL6p,NAI 
[7939] CANCEL_BUY,LHA4yFlv3r 
[7940] ADD,YET2WF8iGL,81852.29 
[7941] SELL,r9sY6ykQwB,TWQ,175.05 
[7942] COMMIT_SELL,r9sY6ykQwB 
[7943] COMMIT_SELL,qEVRIEnox8 
[7944] COMMIT_SELL,NmALn2RmzI 
[7945] QUOTE,pTZZjie7eX,UUG 
[7946] ADD,BDty3gMxBy,71578.81 
[7947] ADD,pz8HIUVPXH,67621.32 
[7948] CANCEL_SELL,wMcCWGxtZb 
[7949] SELL,RtgbNlNQ82,UED,97.44 
[7950] BUY,h0Ib8LzTs9,ABQ,276.86 
[7951] QUOTE,Z14JubX5Uv,MAP 
[7952] CANCEL_SET_BUY,r9sY6ykQwB,TYW 
[7953] CANCEL_SET_BUY,Z14JubX5Uv,YNA 
[7954] ADD,JPE6oMVt1b,83063.61 
[7955] COMMIT_BUY,qkUYmnHXvb 
[7956] COMMIT_SELL,qoExOgAPyd 
[7957] COMMIT_SELL,PDwyOp2gzv 
[7958] DISPLAY_SUMMARY,7nGIkyoUrD 
[7959] SET_BUY_TRIGGER,BxWlges22v,LED,186.10 
[7960] SET_BUY_AMOUNT,h0Ib8LzTs9,TWQ,583.91 
[7961] COMMIT_BUY,CxzX2w8DmS 
[7962] SET_BUY_TRIGGER,R4lbhHC1hS,NAI,162.88 
[7963] CANCEL_SELL,Js6LySzcEQ 
[7964] CANCEL_BUY,La1eSbNL6p 
[7965] BUY,CvCH8jPh2i,UQO,336.49 
[7966] SELL,CvCH8jPh2i,UED,603.58 
[7967] SET_SELL_TRIGGER,L3qfH51ukK,HZQ,112.14 
[7968] DISPLAY_SUMMARY,PDwyOp2gzv 
[7969] CANCEL_BUY,tK1JNuy0li 
[7970] CANCEL_SET_BUY,r9sY6ykQwB,KLF 
[7971] BUY,pTZZjie7eX,YRS,46.01 
[7972] CANCEL_SET_BUY,CxzX2w8DmS,JBQ 
[7973] COMMIT_SELL,7nGIkyoUrD 
[7974] CANCEL_SET_SELL,Z14JubX5Uv,LED 
[7975] SET_BUY_TRIGGER,e6Ql5cbsux,CRJ,135.11 
[7976] CANCEL_SET_SELL,13VC8b11Q6,PXD 
[7977] QUOTE,whcYxtH67L,LPF 
[7978] DISPLAY_SUMMARY,qkUYmnHXvb 
[7979] SELL,IkWXoni8ti,KUZ,379.72 
[7980] BUY,RtgbNlNQ82,DUW,624.60 
[7981] CANCEL_SET_BUY,qEVRIEnox8,NAI 
[7982] QUOTE,JPE6oMVt1b,TYW 
[7983] BUY,izXvHOmJ6Y,MAP,444.97 
[7984] SELL,BxWlges22v,TNV,398.40 
[7985] DISPLAY_SUMMARY,CxzX2w8DmS 
[7986] COMMIT_SELL,wMcCWGxtZb 
[7987] SET_SELL_AMOUNT,13VC8b11Q6,TWQ,327.50 
[7988] QUOTE,BDty3gMxBy,JNP 
[7989] SET_BUY_TRIGGER,Kt8I7sdBcS,RPN,245.19 
[7990] QUOTE,7nGIkyoUrD,BXC 
[7991] QUOTE,ItaC6MIk2c,UUG 
[7992] DISPLAY_SUMMARY,Js6LySzcEQ 
[7993] DISPLAY_SUMMARY,CxzX2w8DmS 
[7994] SET_BUY_AMOUNT,RtgbNlNQ82,RYI,741.29 
[7995] SET_BUY_AMOUNT,L3qfH51ukK,JBQ,18.32 
[7996] SELL,NmALn2RmzI,VQZ,747.62 
[7997] QUOTE,YIgPFTE1M7,AAL 
[7998] QUOTE,izXvHOmJ6Y,JNP 
[7999] COMMIT_BUY,mMQlpMeOfD 
[8000] ADD,tK1JNuy0li,67078.62 
[8001] CANCEL_BUY,r9sY6ykQwB 
[8002] SELL,yAAurFarHT,JBQ,96.49 
[8003] BUY,whcYxtH67L,QDU,167.92 
[8004] BUY,CxzX2w8DmS,TFP,703.19 
[8005] SELL,PDwyOp2gzv,WXZ,336.00 
[8006] CANCEL_SET_BUY,h0Ib8LzTs9,LPF 
[8007] DISPLAY_SUMMARY,R4lbhHC1hS 
[8008] COMMIT_BUY,TMxB3eAn63 
[8009] QUOTE,YET2WF8iGL,MFG 
[8010] DISPLAY_SUMMARY,Kt8I7sdBcS 
[8011] QUOTE,qkUYmnHXvb,GGV 
[8012] CANCEL_SET_SELL,QPKBykFnxr,CHG 
[8013] SET_SELL_AMOUNT,ItaC6MIk2c,TWQ,350.18 
[8014] SET_SELL_TRIGGER,Js6LySzcEQ,HGW,105.49 
[8015] CANCEL_BUY,LHA4yFlv3r 
[8016] QUOTE,mZFoN64osd,EJK 
[8017] CANCEL_SET_SELL,h0Ib8LzTs9,CRJ 
[8018] DISPLAY_SUMMARY,Z14JubX5Uv 
[8019] CANCEL_SET_SELL,zVGmOyE2TY,UDM 
[8020] SET_SELL_TRIGGER,ItaC6MIk2c,TWQ,99.36 
[8021] DISPLAY_SUMMARY,mZFoN64osd 
[8022] COMMIT_SELL,CvCH8jPh2i 
[8023] SET_BUY_TRIGGER,L3qfH51ukK,HGW,0.01 
[8024] QUOTE,r9sY6ykQwB,QTG 
[8025] QUOTE,YET2WF8iGL,JLX 
[8026] DISPLAY_SUMMARY,h0Ib8LzTs9 
[8027] BUY,h0Ib8LzTs9,KME,287.57 
[8028] SELL,wMcCWGxtZb,XYR,655.36 
[8029] SELL,yAAurFarHT,WXZ,372.27 
[8030] COMMIT_BUY,whcYxtH67L 
[8031] QUOTE,e6Ql5cbsux,SUN 
[8032] QUOTE,R4lbhHC1hS,COI 
[8033] BUY,PDwyOp2gzv,ZJI,449.46 
[8034] COMMIT_BUY,PDwyOp2gzv 
[8035] BUY,LHA4yFlv3r,NAI,403.72 
[8036] CANCEL_SELL,R4lbhHC1hS 
[8037] DISPLAY_SUMMARY,RtgbNlNQ82 
[8038] COMMIT_BUY,kHMjwfSx2P 
[8039] QUOTE,e6Ql5cbsux,HZQ 
[8040] DISPLAY_SUMMARY,CvCH8jPh2i 
[8041] ADD,JPE6oMVt1b,71132.12 
[8042] COMMIT_SELL,zVGmOyE2TY 
[8043] SET_SELL_AMOUNT,R4lbhHC1hS,RYI,637.79 
[8044] SELL,zVGmOyE2TY,BMJ,431.97 
[8045] COMMIT_SELL,yAAurFarHT 
[8046] SELL,mZFoN64osd,RYI,674.90 
[8047] BUY,e6Ql5cbsux,NAI,386.17 
[8048] BUY,mMQlpMeOfD,NQP,594.35 
[8049] BUY,LHA4yFlv3r,SFY,573.74 
[8050] COMMIT_BUY,pTZZjie7eX 
[8051] ADD,qoExOgAPyd,62100.48 
[8052] COMMIT_SELL,IkWXoni8ti 
[8053] BUY,mMQlpMeOfD,ACY,169.61 
[8054] QUOTE,qoExOgAPyd,KLF 
[8055] SET_BUY_AMOUNT,h0Ib8LzTs9,KUZ,201.41 
[8056] BUY,7nGIkyoUrD,MFC,747.85 
[8057] SET_BUY_AMOUNT,kHMjwfSx2P,JBQ,282.05 
[8058] SET_BUY_TRIGGER,h0Ib8LzTs9,NOE,156.49 
[8059] CANCEL_BUY,LHA4yFlv3r 
[8060] QUOTE,zVGmOyE2TY,IKA 
[8061] SET_SELL_AMOUNT,JPE6oMVt1b,JBQ,84.05 
[8062] COMMIT_SELL,bfIjLoap9T 
[8063] CANCEL_SET_BUY,qEVRIEnox8,JXE 
[8064] SET_BUY_TRIGGER,mMQlpMeOfD,UED,139.98 
[8065] BUY,pTZZjie7eX,CRJ,379.07 
[8066] SET_BUY_TRIGGER,kHMjwfSx2P,TNV,228.39 
[8067] BUY,tK1JNuy0li,EJK,392.77 
[8068] CANCEL_SET_SELL,E9DHfAjHfd,VAL 
[8069] SET_SELL_TRIGGER,E9DHfAjHfd,YRS,162.11 
[8070] COMMIT_BUY,7nGIkyoUrD 
[8071] ADD,h0Ib8LzTs9,59717.73 
[8072] SELL,TMxB3eAn63,UED,447.99 
[8073] COMMIT_BUY,pTZZjie7eX 
[8074] SET_SELL_TRIGGER,13VC8b11Q6,TWQ,87.81 
[8075] COMMIT_BUY,E5CusuUGY3 
[8076] ADD,kHMjwfSx2P,65974.19 
[8077] BUY,jK70t6xffU,TKB,311.65 
[8078] QUOTE,ItaC6MIk2c,WBS 
[8079] CANCEL_SELL,wMcCWGxtZb 
[8080] SET_BUY_AMOUNT,TMxB3eAn63,XTF,629.30 
[8081] SET_SELL_TRIGGER,R4lbhHC1hS,RYI,552.70 
[8082] SET_BUY_AMOUNT,tK1JNuy0li,UED,335.28 
[8083] CANCEL_SELL,BxWlges22v 
[8084] SET_BUY_AMOUNT,mZFoN64osd,VQZ,325.03 
[8085] BUY,r9sY6ykQwB,STS,146.00 
[8086] COMMIT_BUY,mMQlpMeOfD 
[8087] SET_BUY_TRIGGER,tK1JNuy0li,SWC,294.40 
[8088] COMMIT_BUY,r9sY6ykQwB 
[8089] SELL,CvCH8jPh2i,VQZ,502.63 
[8090] QUOTE,YIgPFTE1M7,STS 
[8091] CANCEL_SELL,13VC8b11Q6 
[8092] COMMIT_BUY,e6Ql5cbsux 
[8093] DISPLAY_SUMMARY,Kt8I7sdBcS 
[8094] DISPLAY_SUMMARY,13VC8b11Q6 
[8095] ADD,bfIjLoap9T,52174.81 
[8096] BUY,zVGmOyE2TY,DUW,238.07 
[8097] BUY,BDty3gMxBy,PZV,164.69 
[8098] COMMIT_SELL,NmALn2RmzI 
[8099] DISPLAY_SUMMARY,YET2WF8iGL 
[8100] DISPLAY_SUMMARY,wMcCWGxtZb 
[8101] DISPLAY_SUMMARY,CxzX2w8DmS 
[8102] COMMIT_SELL,7nGIkyoUrD 
[8103] ADD,CxzX2w8DmS,73728.68 
[8104] CANCEL_SET_SELL,YET2WF8iGL,XYC 
[8105] CANCEL_SET_BUY,QPKBykFnxr,CRJ 
[8106] SET_SELL_TRIGGER,JPE6oMVt1b,JBQ,74.06 
[8107] COMMIT_BUY,mMQlpMeOfD 
[8108] ADD,qEVRIEnox8,71536.77 
[8109] QUOTE,PDwyOp2gzv,JXE 
[8110] CANCEL_SELL,IkWXoni8ti 
[8111] SET_BUY_TRIGGER,mZFoN64osd,SFY,279.65 
[8112] BUY,h0Ib8LzTs9,BMJ,584.48 
[8113] BUY,tK1JNuy0li,ZRU,6.55 
[8114] QUOTE,qEVRIEnox8,RPN 
[8115] QUOTE,Z14JubX5Uv,ACY 
[8116] QUOTE,pz8HIUVPXH,IFV 
[8117] SET_SELL_AMOUNT,CxzX2w8DmS,TWQ,302.03 
[8118] CANCEL_SET_SELL,wMcCWGxtZb,CNC 
[8119] CANCEL_SET_SELL,uspV5YXJSf,YNA 
[8120] CANCEL_BUY,zVGmOyE2TY 
[8121] CANCEL_SET_BUY,LHA4yFlv3r,OTW 
[8122] BUY,r9sY6ykQwB,BXC,363.53 
[8123] BUY,bfIjLoap9T,TWQ,192.88 
[8124] SET_SELL_TRIGGER,yAAurFarHT,YZB,99.24 
[8125] ADD,7nGIkyoUrD,69384.90 
[8126] SELL,La1eSbNL6p,RYI,284.60 
[8127] SET_BUY_AMOUNT,13VC8b11Q6,BMJ,219.11 
[8128] SELL,BDty3gMxBy,XTF,280.23 
[8129] BUY,uspV5YXJSf,GWE,645.78 
[8130] COMMIT_BUY,h0Ib8LzTs9 
[8131] CANCEL_SELL,r9sY6ykQwB 
[8132] CANCEL_SET_SELL,QPKBykFnxr,VOT 
[8133] QUOTE,qoExOgAPyd,OTW 
[8134] ADD,R4lbhHC1hS,36286.27 
[8135] SET_SELL_TRIGGER,CxzX2w8DmS,TWQ,222.42 
[8136] DISPLAY_SUMMARY,ItaC6MIk2c 
[8137] QUOTE,R4lbhHC1hS,VVL 
[8138] SET_SELL_TRIGGER,ItaC6MIk2c,WXZ,97.94 
[8139] CANCEL_BUY,zVGmOyE2TY 
[8140] QUOTE,RtgbNlNQ82,RPN 
[8141] CANCEL_BUY,LHA4yFlv3r 
[8142] BUY,kHMjwfSx2P,XYR,111.59 
[8143] SET_SELL_TRIGGER,NmALn2RmzI,NPD,0.69 
[8144] CANCEL_SELL,e6Ql5cbsux 
[8145] BUY,qoExOgAPyd,UDM,557.13 
[8146] ADD,mZFoN64osd,62338.35 
[8147] COMMIT_BUY,tK1JNuy0li 
[8148] SELL,E9DHfAjHfd,JBQ,368.58 
[8149] SET_BUY_TRIGGER,13VC8b11Q6,GGV,136.77 
[8150] COMMIT_SELL,CxzX2w8DmS 
[8151] CANCEL_SET_BUY,qoExOgAPyd,LPF 
[8152] ADD,Kt8I7sdBcS,73738.64 
[8153] CANCEL_SET_BUY,yAAurFarHT,SLC 
[8154] QUOTE,yAAurFarHT,KME 
[8155] QUOTE,7nGIkyoUrD,KME 
[8156] SET_SELL_TRIGGER,QPKBykFnxr,VJT,93.47 
[8157] COMMIT_SELL,YET2WF8iGL 
[8158] CANCEL_BUY,IkWXoni8ti 
[8159] QUOTE,izXvHOmJ6Y,LPF 
[8160] CANCEL_SELL,qkUYmnHXvb 
[8161] DISPLAY_SUMMARY,qEVRIEnox8 
[8162] COMMIT_SELL,e6Ql5cbsux 
[8163] BUY,izXvHOmJ6Y,TNV,655.58 
[8164] SELL,qkUYmnHXvb,LNW,434.25 
[8165] COMMIT_BUY,La1eSbNL6p 
[8166] COMMIT_BUY,izXvHOmJ6Y 
[8167] CANCEL_SELL,YET2WF8iGL 
[8168] SET_BUY_TRIGGER,L3qfH51ukK,OTW,166.02 
[8169] COMMIT_SELL,qkUYmnHXvb 
[8170] ADD,qEVRIEnox8,75537.95 
[8171] CANCEL_SELL,h0Ib8LzTs9 
[8172] CANCEL_SELL,La1eSbNL6p 
[8173] COMMIT_SELL,BxWlges22v 
[8174] QUOTE,L3qfH51ukK,PZL 
[8175] BUY,RtgbNlNQ82,SBK,610.20 
[8176] QUOTE,yAAurFarHT,ZRU 
[8177] DISPLAY_SUMMARY,pTZZjie7eX 
[8178] COMMIT_BUY,13VC8b11Q6 
[8179] COMMIT_BUY,mMQlpMeOfD 
[8180] BUY,pz8HIUVPXH,SUN,397.35 
[8181] CANCEL_SELL,whcYxtH67L 
[8182] COMMIT_SELL,h0Ib8LzTs9 
[8183] CANCEL_BUY,qoExOgAPyd 
[8184] QUOTE,r9sY6ykQwB,TFP 
[8185] COMMIT_SELL,qoExOgAPyd 
[8186] COMMIT_SELL,BDty3gMxBy 
[8187] ADD,Js6LySzcEQ,72687.95 
[8188] CANCEL_SELL,NmALn2RmzI 
[8189] QUOTE,L3qfH51ukK,AAL 
[8190] QUOTE,Js6LySzcEQ,YZB 
[8191] COMMIT_BUY,RtgbNlNQ82 
[8192] BUY,qEVRIEnox8,ACY,244.29 
[8193] SET_BUY_TRIGGER,TMxB3eAn63,VAL,89.14 
[8194] COMMIT_BUY,kHMjwfSx2P 
[8195] COMMIT_BUY,whcYxtH67L 
[8196] COMMIT_BUY,uspV5YXJSf 
[8197] BUY,7nGIkyoUrD,COI,611.82 
[8198] SELL,CvCH8jPh2i,TWQ,480.43 
[8199] BUY,Z14JubX5Uv,TWQ,533.70 
[8200] DISPLAY_SUMMARY,kHMjwfSx2P 
[8201] DISPLAY_SUMMARY,tK1JNuy0li 
[8202] ADD,BDty3gMxBy,69440.75 
[8203] SELL,pz8HIUVPXH,TWQ,669.69 
[8204] CANCEL_SET_SELL,wMcCWGxtZb,ZFP 
[8205] CANCEL_SET_BUY,LHA4yFlv3r,HJE 
[8206] CANCEL_SELL,tK1JNuy0li 
[8207] SET_SELL_TRIGGER,LHA4yFlv3r,OTW,26.19 
[8208] COMMIT_SELL,CvCH8jPh2i 
[8209] SET_BUY_TRIGGER,e6Ql5cbsux,NPD,171.36 
[8210] SET_BUY_TRIGGER,BDty3gMxBy,SWC,176.95 
[8211] ADD,BDty3gMxBy,45950.35 
[8212] ADD,qkUYmnHXvb,75090.58 
[8213] CANCEL_BUY,zVGmOyE2TY 
[8214] COMMIT_BUY,qEVRIEnox8 
[8215] ADD,TMxB3eAn63,68032.98 
[8216] DISPLAY_SUMMARY,kHMjwfSx2P 
[8217] BUY,Kt8I7sdBcS,RYI,22.45 
[8218] QUOTE,qkUYmnHXvb,QDU 
[8219] BUY,13VC8b11Q6,COI,373.65 
[8220] DISPLAY_SUMMARY,yAAurFarHT 
[8221] CANCEL_SET_BUY,ItaC6MIk2c,GGV 
[8222] CANCEL_BUY,13VC8b11Q6 
[8223] CANCEL_SELL,YET2WF8iGL 
[8224] COMMIT_SELL,pTZZjie7eX 
[8225] CANCEL_BUY,Z14JubX5Uv 
[8226] DISPLAY_SUMMARY,pz8HIUVPXH 
[8227] SET_BUY_AMOUNT,JPE6oMVt1b,RPN,19.17 
[8228] BUY,h0Ib8LzTs9,WYB,242.21 
[8229] ADD,kHMjwfSx2P,77277.85 
[8230] CANCEL_SET_SELL,zVGmOyE2TY,RNJ 
[8231] SET_SELL_AMOUNT,zVGmOyE2TY,LNW,269.97 
[8232] COMMIT_BUY,kHMjwfSx2P 
[8233] COMMIT_SELL,PDwyOp2gzv 
[8234] QUOTE,izXvHOmJ6Y,CHG 
[8235] CANCEL_SELL,uspV5YXJSf 
[8236] CANCEL_SET_BUY,CxzX2w8DmS,JNP 
[8237] DISPLAY_SUMMARY,uspV5YXJSf 
[8238] CANCEL_BUY,RtgbNlNQ82 
[8239] CANCEL_SELL,Js6LySzcEQ 
[8240] QUOTE,e6Ql5cbsux,DUW 
[8241] CANCEL_BUY,e6Ql5cbsux 
[8242] CANCEL_BUY,QPKBykFnxr 
[8243] COMMIT_BUY,jK70t6xffU 
[8244] CANCEL_SET_SELL,13VC8b11Q6,DKJ 
[8245] ADD,CxzX2w8DmS,78981.26 
[8246] QUOTE,CxzX2w8DmS,HZQ 
