[1] ADD,lLn3fa1FIk,75576.00 
[81660] DISPLAY_SUMMARY,kcrL7pVjFP 
[81661] QUOTE,qE6dGnwk51,RRE 
[81662] QUOTE,TRCadzjH8F,XTH 
[81663] ADD,1uGQw5a691,60912.70 
[81664] COMMIT_SELL,NcGvD9d4mj 
[81665] BUY,xka9Jdr7ac,IFU,378.05 
[81666] CANCEL_SET_BUY,nV1jqGc3b6,XUH 
[81667] ADD,x8GMbOCXJX,56181.44 
[81668] ADD,REUXfFUthD,80005.94 
[81669] CANCEL_BUY,6bw5h7oAdg 
[81670] DISPLAY_SUMMARY,g3Xh0OB6vf 
[81671] ADD,YBTGw9v3Cl,76246.15 
[81672] ADD,wYQUhjq8PE,86832.09 
[81673] SET_BUY_AMOUNT,n4E566ZogW,TKM,374.02 
[81674] COMMIT_BUY,ugupCCzmJf 
[81675] BUY,x8GMbOCXJX,FTB,221.71 
[81676] QUOTE,1uGQw5a691,GUB 
[81677] ADD,nV1jqGc3b6,66582.35 
[81678] SET_BUY_TRIGGER,qE6dGnwk51,CTT,192.88 
[81679] SET_SELL_TRIGGER,kryOHlcACM,BVN,106.32 
[81680] ADD,g3Xh0OB6vf,84622.77 
[81681] QUOTE,F0mQHf8fev,TGY 
[81682] SET_BUY_TRIGGER,ooUBBK63Qe,LPW,42.80 
[81683] BUY,oAd3QaqYgz,EEG,57.79 
[81684] SET_BUY_TRIGGER,km22Ao7dfo,BCQ,61.02 
[81685] QUOTE,XeYo2ezKey,XBL 
[81686] SET_BUY_TRIGGER,n4E566ZogW,EDW,141.66 
[81687] CANCEL_SELL,e6JAmPjBmb 
[81688] BUY,e6JAmPjBmb,YWC,54.60 
[81689] ADD,hBEPbg75Qp,95604.35 
[81690] SELL,4vBuSX8YYJ,EBS,96.38 
[81691] COMMIT_BUY,D6zA2CRl22 
[81692] QUOTE,uWX4TGhR6O,JEO 
[81693] SET_BUY_TRIGGER,ZVyQqBS4Yw,XAB,220.95 
[81694] ADD,F0mQHf8fev,68555.93 
[81695] COMMIT_BUY,lLn3fa1FIk 
[81696] SET_BUY_AMOUNT,etWfSg2zBt,CBO,255.86 
[81697] BUY,kMcjEkmbDd,PUU,136.64 
[81698] QUOTE,y5IWeezXEN,IIX 
[81699] DISPLAY_SUMMARY,n4E566ZogW 
[81700] ADD,4vBuSX8YYJ,52213.67 
[81701] SET_BUY_AMOUNT,vmBnGlfW5S,CSZ,27.46 
[81702] ADD,XwKSBoZ6lO,56171.02 
[81703] SET_BUY_AMOUNT,xETyPXWhj9,VTY,428.92 
[81704] QUOTE,AnPcs8yTdQ,QOQ 
[81705] BUY,pIkIgs3Y8E,BHH,457.83 
[81706] SET_BUY_AMOUNT,qE6dGnwk51,RNK,356.06 
[81707] QUOTE,FOsYiQU5Qk,KRY 
[81708] BUY,AnPcs8yTdQ,DXQ,532.63 
[81709] QUOTE,TRCadzjH8F,WAI 
[81710] DISPLAY_SUMMARY,kESyNMCJeA 
[81711] COMMIT_BUY,xka9Jdr7ac 
[81712] QUOTE,km22Ao7dfo,YTO 
[81713] SET_BUY_AMOUNT,ZVyQqBS4Yw,JQO,690.49 
[81714] ADD,XeYo2ezKey,49071.73 
[81715] DISPLAY_SUMMARY,NcGvD9d4mj 
[81716] CANCEL_SET_SELL,OO6PWyjuYk,SZI 
[81717] DISPLAY_SUMMARY,eGGeSBtfEQ 
[81718] CANCEL_SET_SELL,wYQUhjq8PE,LCP 
[81719] SET_SELL_AMOUNT,x8GMbOCXJX,KBN,169.90 
[81720] QUOTE,HBbyhPrKJi,JDW 
[81721] QUOTE,HGsodwsfKO,WCR 
[81722] QUOTE,cehNQrvm7R,ZNW 
[81723] BUY,kryOHlcACM,NUL,432.50 
[81724] ADD,UuEeoiTzyl,72788.50 
[81725] DISPLAY_SUMMARY,xRR8b3q6bp 
[81726] ADD,xRR8b3q6bp,67515.97 
[81727] SET_BUY_TRIGGER,7UUhSRHInh,LKV,274.02 
[81728] ADD,kcrL7pVjFP,69186.03 
[81729] BUY,etWfSg2zBt,ZOZ,578.56 
[81730] BUY,unNg5XYq8A,YOQ,423.37 
[81731] SET_SELL_TRIGGER,mR1GL8In4q,KDA,2.72 
[81732] SELL,BOvGL2MRxg,QGE,103.28 
[81733] SET_BUY_AMOUNT,Rq5xFLYt6l,ZTI,270.96 
[81734] SET_BUY_AMOUNT,F3iruDCI8F,MXD,250.37 
[81735] SET_BUY_TRIGGER,akVcdarOA3,LLO,118.49 
[81736] QUOTE,y5IWeezXEN,YKB 
[81737] COMMIT_BUY,AnPcs8yTdQ 
[81738] BUY,TViJpUe5JR,BFB,287.83 
[81739] COMMIT_BUY,TViJpUe5JR 
[81740] SET_BUY_TRIGGER,BOvGL2MRxg,ULL,30.09 
[81741] SET_BUY_TRIGGER,ZVyQqBS4Yw,QVK,584.40 
[81742] QUOTE,FLeNlw500v,PVZ 
[81743] QUOTE,LtO7mQU2OX,IIX 
[81744] QUOTE,mR1GL8In4q,JUJ 
[81745] DISPLAY_SUMMARY,akVcdarOA3 
[81746] QUOTE,kcrL7pVjFP,OSA 
[81747] BUY,xgci4T0tkO,ZGN,39.60 
[81748] QUOTE,4vBuSX8YYJ,NZS 
[81749] QUOTE,xgci4T0tkO,FGI 
[81750] SET_SELL_AMOUNT,U4jQmk30QS,TVI,342.50 
[81751] COMMIT_SELL,n9qniWnHrs 
[81752] COMMIT_BUY,k5RWRveCOY 
[81753] COMMIT_BUY,q0Qp5MF3CI 
[81754] QUOTE,XeYo2ezKey,AHE 
[81755] COMMIT_BUY,7Jo2brvLiF 
[81756] SET_BUY_AMOUNT,v2iT5RAbiA,QVK,332.74 
[81757] SET_BUY_TRIGGER,Z5Z6RJO7ho,DVA,195.06 
[81758] ADD,ZVyQqBS4Yw,52375.58 
[81759] SET_BUY_TRIGGER,qE6dGnwk51,EAK,26.91 
[81760] QUOTE,kcrL7pVjFP,YXK 
[81761] SET_BUY_TRIGGER,t56BLlGu3K,DPG,185.72 
[81762] DISPLAY_SUMMARY,xka9Jdr7ac 
[81763] SET_BUY_AMOUNT,7Jo2brvLiF,CUZ,720.52 
[81764] QUOTE,WUsol6wtDm,GZU 
[81765] SET_BUY_AMOUNT,wYQUhjq8PE,CBO,692.60 
[81766] DISPLAY_SUMMARY,HGsodwsfKO 
[81767] SET_BUY_TRIGGER,wYQUhjq8PE,URY,526.38 
[81768] SET_BUY_TRIGGER,v2iT5RAbiA,CVK,147.83 
[81769] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[81770] COMMIT_BUY,vRUafgIjuV 
[81771] COMMIT_BUY,cehNQrvm7R 
[81772] ADD,eGGeSBtfEQ,58933.50 
[81773] BUY,ugupCCzmJf,VOU,319.38 
[81774] DISPLAY_SUMMARY,TViJpUe5JR 
[81775] SET_SELL_AMOUNT,xka9Jdr7ac,NHG,506.60 
[81776] DISPLAY_SUMMARY,YBTGw9v3Cl 
[81777] COMMIT_SELL,mR1GL8In4q 
[81778] BUY,kcrL7pVjFP,JUJ,324.82 
[81779] SET_SELL_TRIGGER,ooUBBK63Qe,SUS,12.99 
[81780] COMMIT_BUY,ugupCCzmJf 
[81781] BUY,KnTBc3qwcr,BFB,559.39 
[81782] COMMIT_BUY,NmnabmB6tO 
[81783] DISPLAY_SUMMARY,mR1GL8In4q 
[81784] BUY,CetaglZj6n,EAK,131.92 
[81785] SELL,69DAEr1YIe,QAX,269.28 
[81786] SET_BUY_AMOUNT,Z5Z6RJO7ho,ZYR,243.13 
[81787] BUY,AwEXQhdKGW,KJD,218.34 
[81788] QUOTE,BOvGL2MRxg,SEW 
[81789] ADD,xgci4T0tkO,71852.13 
[81790] BUY,6bw5h7oAdg,INB,689.14 
[81791] ADD,HPxIuj9S6A,74033.93 
[81792] ADD,akVcdarOA3,88646.74 
[81793] SET_SELL_TRIGGER,xka9Jdr7ac,NHG,336.31 
[81794] COMMIT_BUY,etWfSg2zBt 
[81795] SET_BUY_AMOUNT,FjKEXA3hdZ,OPN,696.98 
[81796] BUY,ZVyQqBS4Yw,IHW,721.32 
[81797] SELL,etWfSg2zBt,OPN,173.82 
[81798] SET_BUY_TRIGGER,hPnf9OsmbW,NRY,381.61 
[81799] COMMIT_BUY,e6JAmPjBmb 
[81800] CANCEL_BUY,CetaglZj6n 
[81801] SELL,CetaglZj6n,CSZ,645.25 
[81802] SET_BUY_TRIGGER,aMMzTGXVGg,XBL,186.29 
[81803] SET_SELL_TRIGGER,NmnabmB6tO,XAN,168.07 
[81804] SELL,4vBuSX8YYJ,PTP,349.63 
[81805] BUY,3mEsf51UBo,IFQ,421.70 
[81806] QUOTE,xETyPXWhj9,QID 
[81807] DISPLAY_SUMMARY,mR1GL8In4q 
[81808] DISPLAY_SUMMARY,km22Ao7dfo 
[81809] COMMIT_BUY,oAd3QaqYgz 
[81810] SET_BUY_TRIGGER,AwEXQhdKGW,ZQW,144.42 
[81811] SET_BUY_TRIGGER,Z5Z6RJO7ho,NUL,58.79 
[81812] SELL,gou39c5KlQ,GSW,709.85 
[81813] COMMIT_SELL,69DAEr1YIe 
[81814] BUY,akVcdarOA3,STQ,4.17 
[81815] BUY,JZJCffUI5S,HIW,711.77 
[81816] ADD,hrINHOrbWw,60917.03 
[81817] SELL,aMMzTGXVGg,LFU,676.63 
[81818] QUOTE,XwKSBoZ6lO,TXB 
[81819] BUY,BOvGL2MRxg,UUJ,727.46 
[81820] SET_SELL_AMOUNT,TViJpUe5JR,FQP,333.20 
[81821] SET_SELL_AMOUNT,BOvGL2MRxg,OZO,702.71 
[81822] DISPLAY_SUMMARY,kESyNMCJeA 
[81823] BUY,nV1jqGc3b6,GTN,220.68 
[81824] SELL,D6zA2CRl22,CSZ,594.40 
[81825] SET_SELL_TRIGGER,U4jQmk30QS,TVI,230.35 
[81826] BUY,9Z89FNPK7B,EOS,362.71 
[81827] COMMIT_BUY,JZJCffUI5S 
[81828] ADD,69DAEr1YIe,94030.58 
[81829] SET_SELL_TRIGGER,AnPcs8yTdQ,DBT,101.39 
[81830] BUY,XeYo2ezKey,LPW,673.77 
[81831] ADD,UUcfl1X3U9,86627.72 
[81832] COMMIT_SELL,OO6PWyjuYk 
[81833] SELL,AnPcs8yTdQ,FDI,726.49 
[81834] SELL,REUXfFUthD,OZO,164.76 
[81835] CANCEL_SET_BUY,NmnabmB6tO,VMT 
[81836] QUOTE,cehNQrvm7R,ZPD 
[81837] DISPLAY_SUMMARY,LAu7ZpcWWv 
[81838] SET_BUY_TRIGGER,8IA1PUK3hd,YXK,19.34 
[81839] SET_SELL_AMOUNT,REUXfFUthD,XLK,395.64 
[81840] SELL,xKgBJKhIlx,XXQ,559.74 
[81841] COMMIT_BUY,aMMzTGXVGg 
[81842] QUOTE,oAd3QaqYgz,CBO 
[81843] BUY,WUsol6wtDm,UFX,629.73 
[81844] SELL,VEusTtq5S7,SSF,672.16 
[81845] CANCEL_SET_SELL,v2iT5RAbiA,NHG 
[81846] ADD,HBb0dWvkmH,95168.53 
[81847] COMMIT_BUY,4vBuSX8YYJ 
[81848] COMMIT_BUY,3mEsf51UBo 
[81849] COMMIT_BUY,unNg5XYq8A 
[81850] QUOTE,8pCSyzEP5L,ZFJ 
[81851] CANCEL_SELL,v2iT5RAbiA 
[81852] ADD,Z5Z6RJO7ho,68632.50 
[81853] COMMIT_SELL,AnPcs8yTdQ 
[81854] COMMIT_BUY,dALWhJa374 
[81855] QUOTE,hrINHOrbWw,RWM 
[81856] DISPLAY_SUMMARY,dALWhJa374 
[81857] CANCEL_SET_BUY,KnTBc3qwcr,XOL 
[81858] BUY,F0mQHf8fev,MHQ,461.04 
[81859] SELL,n9qniWnHrs,FDI,133.65 
[81860] COMMIT_SELL,CetaglZj6n 
[81861] SET_BUY_TRIGGER,hQaIWhluU7,NJF,134.70 
[81862] QUOTE,3mEsf51UBo,CBV 
[81863] QUOTE,hPnf9OsmbW,CBY 
[81864] DISPLAY_SUMMARY,QXEQWDUSMg 
[81865] DISPLAY_SUMMARY,xka9Jdr7ac 
[81866] SET_BUY_AMOUNT,vRUafgIjuV,BYA,324.27 
[81867] DISPLAY_SUMMARY,8xgyjkdphP 
[81868] SELL,8IA1PUK3hd,CUZ,740.37 
[81869] COMMIT_BUY,6bw5h7oAdg 
[81870] BUY,1uGQw5a691,OBO,709.98 
[81871] COMMIT_BUY,pIkIgs3Y8E 
[81872] SELL,Rq5xFLYt6l,GRM,567.95 
[81873] ADD,NmnabmB6tO,50738.86 
[81874] CANCEL_SET_SELL,UUcfl1X3U9,SQO 
[81875] COMMIT_SELL,xKgBJKhIlx 
[81876] SELL,mR1GL8In4q,PTP,495.27 
[81877] DISPLAY_SUMMARY,9RCeWXbzj9 
[81878] SET_BUY_AMOUNT,km22Ao7dfo,XLK,163.88 
[81879] QUOTE,xgci4T0tkO,FUR 
[81880] ADD,3mEsf51UBo,76533.85 
[81881] BUY,XwKSBoZ6lO,JOJ,73.50 
[81882] BUY,HBbyhPrKJi,TUO,179.80 
[81883] QUOTE,x8GMbOCXJX,ENQ 
[81884] BUY,e6JAmPjBmb,CMA,320.28 
[81885] SET_BUY_TRIGGER,xKgBJKhIlx,XXP,98.00 
[81886] QUOTE,UuEeoiTzyl,VTY 
[81887] DISPLAY_SUMMARY,hBEPbg75Qp 
[81888] SET_BUY_TRIGGER,vRUafgIjuV,KQZ,16.40 
[81889] SET_SELL_AMOUNT,QXEQWDUSMg,EBS,420.62 
[81890] CANCEL_SELL,hQaIWhluU7 
[81891] BUY,e7Zw0RBCl6,MLI,662.74 
[81892] QUOTE,3mEsf51UBo,MXN 
[81893] DISPLAY_SUMMARY,TRCadzjH8F 
[81894] QUOTE,xETyPXWhj9,ECX 
[81895] ADD,HGsodwsfKO,83207.52 
[81896] SET_SELL_TRIGGER,UUcfl1X3U9,DDH,194.66 
[81897] SET_SELL_TRIGGER,QXEQWDUSMg,EBS,31.99 
[81898] COMMIT_BUY,XwKSBoZ6lO 
[81899] SET_BUY_TRIGGER,F3iruDCI8F,DBR,202.37 
[81900] SET_SELL_TRIGGER,9Z89FNPK7B,ZPD,78.20 
[81901] CANCEL_SET_SELL,8xgyjkdphP,WJP 
[81902] BUY,UuEeoiTzyl,NIR,88.41 
[81903] SET_BUY_TRIGGER,e6JAmPjBmb,XAN,93.08 
[81904] BUY,HGsodwsfKO,QLM,544.10 
[81905] QUOTE,q0Qp5MF3CI,GTX 
[81906] DISPLAY_SUMMARY,2GizxWZj6J 
[81907] CANCEL_SET_BUY,vmBnGlfW5S,BTA 
[81908] QUOTE,28VL4WCD6l,IHA 
[81909] DISPLAY_SUMMARY,hQaIWhluU7 
[81910] CANCEL_SET_BUY,F3iruDCI8F,QOD 
[81911] DISPLAY_SUMMARY,aMMzTGXVGg 
[81912] DISPLAY_SUMMARY,CetaglZj6n 
[81913] SET_BUY_AMOUNT,dALWhJa374,MXD,29.13 
[81914] CANCEL_SELL,t56BLlGu3K 
[81915] COMMIT_BUY,ZVyQqBS4Yw 
[81916] BUY,UUcfl1X3U9,TSU,240.58 
[81917] DISPLAY_SUMMARY,dALWhJa374 
[81918] BUY,HBb0dWvkmH,MQF,575.70 
[81919] ADD,ugupCCzmJf,88217.67 
[81920] CANCEL_BUY,kcrL7pVjFP 
[81921] COMMIT_SELL,akVcdarOA3 
[81922] BUY,aMMzTGXVGg,WCY,28.21 
[81923] BUY,q0Qp5MF3CI,VFH,352.29 
[81924] BUY,TRCadzjH8F,FTP,272.31 
[81925] QUOTE,mR1GL8In4q,IDX 
[81926] SET_BUY_TRIGGER,km22Ao7dfo,GDF,98.70 
[81927] ADD,9RCeWXbzj9,88680.43 
[81928] CANCEL_SET_SELL,nV1jqGc3b6,ZYR 
[81929] SELL,hPnf9OsmbW,JZJ,244.43 
[81930] SET_SELL_AMOUNT,km22Ao7dfo,JZJ,613.71 
[81931] COMMIT_BUY,e7Zw0RBCl6 
[81932] BUY,FjKEXA3hdZ,PHU,294.04 
[81933] SET_SELL_AMOUNT,k5RWRveCOY,IFN,623.12 
[81934] COMMIT_BUY,UuEeoiTzyl 
[81935] SET_SELL_TRIGGER,BOvGL2MRxg,OZO,527.93 
[81936] SELL,KnTBc3qwcr,CSZ,687.47 
[81937] DISPLAY_SUMMARY,dALWhJa374 
[81938] SET_BUY_AMOUNT,2xvOQRaMMK,XLK,366.97 
[81939] QUOTE,km22Ao7dfo,BSZ 
[81940] COMMIT_SELL,gou39c5KlQ 
[81941] QUOTE,uzApK6tlMI,KAF 
[81942] SET_SELL_TRIGGER,unNg5XYq8A,GLO,132.21 
[81943] ADD,QXEQWDUSMg,105716.09 
[81944] ADD,qE6dGnwk51,48611.73 
[81945] COMMIT_BUY,aMMzTGXVGg 
[81946] ADD,kESyNMCJeA,28996.34 
[81947] SET_SELL_TRIGGER,TViJpUe5JR,FQP,291.42 
[81948] BUY,akVcdarOA3,LJZ,618.77 
[81949] SET_SELL_TRIGGER,NcGvD9d4mj,FGI,34.00 
[81950] QUOTE,x8GMbOCXJX,RRZ 
[81951] SET_SELL_TRIGGER,BOvGL2MRxg,TCP,187.74 
[81952] QUOTE,9RCeWXbzj9,EGX 
[81953] COMMIT_SELL,D6zA2CRl22 
[81954] BUY,cehNQrvm7R,DMS,133.53 
[81955] QUOTE,xRR8b3q6bp,BRT 
[81956] SET_BUY_TRIGGER,Rq5xFLYt6l,USW,27.82 
[81957] DISPLAY_SUMMARY,wYQUhjq8PE 
[81958] ADD,n4E566ZogW,83184.85 
[81959] COMMIT_BUY,TRCadzjH8F 
[81960] SELL,mR1GL8In4q,JRJ,244.28 
[81961] QUOTE,n9qniWnHrs,UFX 
[81962] SET_SELL_TRIGGER,Rq5xFLYt6l,AED,80.51 
[81963] CANCEL_SELL,UUcfl1X3U9 
[81964] QUOTE,TRCadzjH8F,KAS 
[81965] SET_SELL_AMOUNT,pIkIgs3Y8E,ZAN,528.05 
[81966] COMMIT_BUY,XeYo2ezKey 
[81967] SET_SELL_AMOUNT,ZVyQqBS4Yw,AVX,181.85 
[81968] SELL,xKgBJKhIlx,RNK,34.76 
[81969] BUY,69DAEr1YIe,XYV,59.98 
[81970] SET_SELL_TRIGGER,p876fU7BEx,CEC,447.42 
[81971] COMMIT_SELL,8IA1PUK3hd 
[81972] SELL,n4E566ZogW,FQP,170.82 
[81973] COMMIT_BUY,F0mQHf8fev 
[81974] SET_SELL_TRIGGER,ZVyQqBS4Yw,AVX,174.91 
[81975] QUOTE,LX1FeVjg6k,QQW 
[81976] ADD,nV1jqGc3b6,76793.68 
[81977] QUOTE,e7Zw0RBCl6,HFI 
[81978] SET_BUY_TRIGGER,xka9Jdr7ac,PZE,33.70 
[81979] SET_BUY_TRIGGER,qE6dGnwk51,MLI,130.29 
[81980] DISPLAY_SUMMARY,t56BLlGu3K 
[81981] CANCEL_BUY,xETyPXWhj9 
[81982] ADD,8xgyjkdphP,71915.15 
[81983] QUOTE,unNg5XYq8A,VOY 
[81984] DISPLAY_SUMMARY,3mEsf51UBo 
[81985] SET_SELL_TRIGGER,TViJpUe5JR,CXB,182.19 
[81986] CANCEL_SELL,LX1FeVjg6k 
[81987] QUOTE,n9qniWnHrs,JFF 
[81988] CANCEL_BUY,hPnf9OsmbW 
[81989] BUY,y5IWeezXEN,JRY,240.17 
[81990] BUY,NmnabmB6tO,CAX,594.51 
[81991] BUY,8xgyjkdphP,JGY,161.86 
[81992] COMMIT_BUY,kMcjEkmbDd 
[81993] SET_BUY_TRIGGER,F3iruDCI8F,BDX,18.87 
[81994] DISPLAY_SUMMARY,F0mQHf8fev 
[81995] SET_BUY_AMOUNT,wYQUhjq8PE,EBS,376.99 
[81996] DISPLAY_SUMMARY,gou39c5KlQ 
[81997] ADD,UUcfl1X3U9,62034.52 
[81998] SET_BUY_TRIGGER,wYQUhjq8PE,CXC,293.90 
[81999] DISPLAY_SUMMARY,D6zA2CRl22 
[82000] COMMIT_SELL,etWfSg2zBt 
[82001] DISPLAY_SUMMARY,qE6dGnwk51 
[82002] SELL,kryOHlcACM,JCQ,123.35 
[82003] ADD,9Z89FNPK7B,72048.23 
[82004] SELL,VEusTtq5S7,QGE,267.55 
[82005] QUOTE,TViJpUe5JR,IZU 
[82006] COMMIT_BUY,q0Qp5MF3CI 
[82007] BUY,xgci4T0tkO,WCR,281.58 
[82008] BUY,9RCeWXbzj9,TQE,671.77 
[82009] SET_SELL_TRIGGER,QXEQWDUSMg,VOU,129.80 
[82010] CANCEL_SET_BUY,1uGQw5a691,EGX 
[82011] BUY,uzApK6tlMI,SQI,583.51 
[82012] SELL,xgci4T0tkO,PTP,570.36 
[82013] COMMIT_SELL,KnTBc3qwcr 
[82014] CANCEL_SET_SELL,9Z89FNPK7B,EOY 
[82015] BUY,unNg5XYq8A,MLU,112.99 
[82016] DISPLAY_SUMMARY,3mEsf51UBo 
[82017] SET_BUY_TRIGGER,HPxIuj9S6A,RWY,200.43 
[82018] SET_SELL_AMOUNT,CetaglZj6n,XXQ,64.14 
[82019] COMMIT_BUY,cehNQrvm7R 
[82020] SET_SELL_TRIGGER,LAu7ZpcWWv,QJC,96.59 
[82021] SET_SELL_TRIGGER,REUXfFUthD,XLK,165.38 
[82022] COMMIT_SELL,VEusTtq5S7 
[82023] BUY,LtO7mQU2OX,KAR,274.45 
[82024] SET_SELL_TRIGGER,CetaglZj6n,XXQ,23.42 
[82025] QUOTE,v2iT5RAbiA,EDM 
[82026] BUY,kMcjEkmbDd,SON,407.50 
[82027] COMMIT_BUY,HBbyhPrKJi 
[82028] ADD,69DAEr1YIe,102076.05 
[82029] QUOTE,69DAEr1YIe,WBL 
[82030] QUOTE,q0Qp5MF3CI,GJR 
[82031] ADD,ooUBBK63Qe,82547.97 
[82032] SELL,4vBuSX8YYJ,DFE,353.27 
[82033] SET_BUY_TRIGGER,wYQUhjq8PE,WKL,152.69 
[82034] SET_SELL_TRIGGER,pIkIgs3Y8E,ZAN,488.63 
[82035] BUY,g3Xh0OB6vf,XBE,217.35 
[82036] CANCEL_SET_BUY,kMcjEkmbDd,SON 
[82037] SELL,HPxIuj9S6A,LZV,428.51 
[82038] QUOTE,p876fU7BEx,EDM 
[82039] SELL,2GizxWZj6J,TVI,318.23 
[82040] SET_SELL_AMOUNT,AwEXQhdKGW,JVT,714.10 
[82041] COMMIT_BUY,g3Xh0OB6vf 
[82042] SELL,LAu7ZpcWWv,TVI,613.45 
[82043] BUY,cehNQrvm7R,UGG,288.91 
[82044] ADD,pIkIgs3Y8E,67294.73 
[82045] BUY,BOvGL2MRxg,ZFV,63.10 
[82046] ADD,CetaglZj6n,62193.59 
[82047] DISPLAY_SUMMARY,OO6PWyjuYk 
[82048] BUY,aMMzTGXVGg,JSM,222.41 
[82049] BUY,oAd3QaqYgz,WCY,235.74 
[82050] CANCEL_SELL,mR1GL8In4q 
[82051] CANCEL_SET_BUY,28VL4WCD6l,NJI 
[82052] SET_SELL_AMOUNT,vmBnGlfW5S,RUN,485.83 
[82053] BUY,p876fU7BEx,KBI,403.07 
[82054] COMMIT_BUY,LtO7mQU2OX 
[82055] SET_SELL_TRIGGER,hQaIWhluU7,PWK,119.39 
[82056] DISPLAY_SUMMARY,HBbyhPrKJi 
[82057] DISPLAY_SUMMARY,kMcjEkmbDd 
[82058] DISPLAY_SUMMARY,REUXfFUthD 
[82059] SET_SELL_AMOUNT,YBTGw9v3Cl,BYA,555.78 
[82060] COMMIT_SELL,XwKSBoZ6lO 
[82061] ADD,XwKSBoZ6lO,56093.06 
[82062] COMMIT_BUY,akVcdarOA3 
[82063] QUOTE,UUcfl1X3U9,MGK 
[82064] QUOTE,7UUhSRHInh,LGL 
[82065] SET_SELL_AMOUNT,kMcjEkmbDd,BYA,516.55 
[82066] COMMIT_BUY,WUsol6wtDm 
[82067] BUY,xETyPXWhj9,NOP,54.40 
[82068] SET_SELL_AMOUNT,NcGvD9d4mj,KBN,597.23 
[82069] SET_SELL_TRIGGER,KnTBc3qwcr,DMW,39.19 
[82070] SELL,akVcdarOA3,UBJ,78.97 
[82071] ADD,hQaIWhluU7,77686.20 
[82072] DISPLAY_SUMMARY,UuEeoiTzyl 
[82073] QUOTE,nV1jqGc3b6,ULL 
[82074] ADD,hPnf9OsmbW,80886.18 
[82075] BUY,AnPcs8yTdQ,OGR,118.12 
[82076] BUY,hrINHOrbWw,NUL,521.51 
[82077] CANCEL_SET_BUY,y5IWeezXEN,IOM 
[82078] CANCEL_SET_SELL,NcGvD9d4mj,KBN 
[82079] QUOTE,n9qniWnHrs,YZH 
[82080] COMMIT_BUY,xETyPXWhj9 
[82081] SET_BUY_TRIGGER,NmnabmB6tO,YBO,1.23 
[82082] COMMIT_BUY,BOvGL2MRxg 
[82083] BUY,JZJCffUI5S,OSC,303.44 
[82084] CANCEL_SET_SELL,uWX4TGhR6O,AVX 
[82085] ADD,HBbyhPrKJi,57144.84 
[82086] DISPLAY_SUMMARY,NmnabmB6tO 
[82087] SET_SELL_TRIGGER,e6JAmPjBmb,FVS,77.81 
[82088] BUY,q0Qp5MF3CI,BEG,65.23 
[82089] SET_BUY_TRIGGER,8pCSyzEP5L,WNX,144.53 
[82090] ADD,6bw5h7oAdg,71283.63 
[82091] DISPLAY_SUMMARY,wYQUhjq8PE 
[82092] BUY,dALWhJa374,KZC,468.92 
[82093] SET_BUY_TRIGGER,4vBuSX8YYJ,LHC,14.32 
[82094] QUOTE,uWX4TGhR6O,LEA 
[82095] BUY,hQaIWhluU7,RDN,661.76 
[82096] DISPLAY_SUMMARY,HPxIuj9S6A 
[82097] DISPLAY_SUMMARY,LAu7ZpcWWv 
[82098] BUY,v2iT5RAbiA,QPZ,72.45 
[82099] QUOTE,eGGeSBtfEQ,UGT 
[82100] BUY,6bw5h7oAdg,XFH,312.08 
[82101] SELL,Z5Z6RJO7ho,GYF,472.72 
[82102] ADD,xETyPXWhj9,65311.72 
[82103] SET_SELL_TRIGGER,k5RWRveCOY,IFN,618.27 
[82104] COMMIT_BUY,FjKEXA3hdZ 
[82105] BUY,kryOHlcACM,VIK,633.75 
[82106] DISPLAY_SUMMARY,FjKEXA3hdZ 
[82107] BUY,XwKSBoZ6lO,NDJ,74.58 
[82108] BUY,TRCadzjH8F,PHZ,358.23 
[82109] DISPLAY_SUMMARY,8xgyjkdphP 
[82110] BUY,n9qniWnHrs,KES,67.03 
[82111] DISPLAY_SUMMARY,XwKSBoZ6lO 
[82112] BUY,69DAEr1YIe,PST,102.94 
[82113] SELL,28VL4WCD6l,QPR,332.46 
[82114] CANCEL_SET_SELL,AwEXQhdKGW,JVT 
[82115] DISPLAY_SUMMARY,7UUhSRHInh 
[82116] SET_SELL_TRIGGER,BOvGL2MRxg,XCL,51.73 
[82117] COMMIT_BUY,kryOHlcACM 
[82118] ADD,F0mQHf8fev,62228.97 
[82119] BUY,TViJpUe5JR,FIW,52.25 
[82120] BUY,BOvGL2MRxg,RWY,94.23 
[82121] ADD,FOsYiQU5Qk,74197.89 
[82122] SET_SELL_TRIGGER,etWfSg2zBt,TKM,97.01 
[82123] BUY,NmnabmB6tO,RQF,103.36 
[82124] SELL,e6JAmPjBmb,QAX,318.13 
[82125] BUY,kESyNMCJeA,GTN,605.97 
[82126] DISPLAY_SUMMARY,g3Xh0OB6vf 
[82127] BUY,uWX4TGhR6O,SON,136.27 
[82128] CANCEL_SET_SELL,mR1GL8In4q,DLQ 
[82129] SET_SELL_AMOUNT,4vBuSX8YYJ,JZJ,553.79 
[82130] SELL,UuEeoiTzyl,SUS,53.28 
[82131] SELL,q0Qp5MF3CI,QJZ,33.42 
[82132] COMMIT_BUY,v2iT5RAbiA 
[82133] COMMIT_SELL,akVcdarOA3 
[82134] QUOTE,HBbyhPrKJi,OEY 
[82135] QUOTE,KnTBc3qwcr,NQU 
